ID,Insects,Crop,Soil,Category_of_Toxicant,Does_count,Number_of_Weeks_Used,Number_Weeks_does_not used,Season,Crop_status
1,188,Feed,clay,1,0,0,0,1,0
2,209,Feed,clay,1,0,0,0,2,1
3,257,Feed,clay,1,0,0,0,2,1
4,257,Feed,silt,1,0,0,0,2,1
5,342,Feed,clay,1,0,0,0,2,1
6,448,Food,silt,1,0,0,0,2,1
7,448,Food,silt,1,0,0,0,2,1
8,577,Feed,clay,1,0,0,0,1,2
9,731,Food,clay,1,0,0,0,2,0
10,1132,Feed,clay,1,0,0,0,1,2
11,1212,Feed,clay,1,0,,0,3,0
12,1575,Food,clay,1,0,0,0,1,1
13,1575,Food,silt,1,0,0,0,2,1
14,1575,Feed,silt,1,0,0,0,2,1
15,1575,Feed,silt,1,0,0,0,2,2
16,1785,Feed,silt,1,0,0,0,2,1
17,2138,Food,silt,1,0,0,0,1,1
18,2401,Food,silt,1,0,25,0,1,1
19,2401,Feed,silt,1,0,0,0,2,1
20,2401,Feed,silt,1,0,0,0,2,1
21,2999,Food,silt,1,0,0,0,3,1
22,3516,Feed,clay,1,0,0,0,2,0
23,3895,Feed,silt,1,0,0,0,1,1
24,4096,Feed,silt,1,0,0,0,2,1
25,150,Food,clay,3,30,26,0,2,0
26,151,Food,clay,3,40,20,0,1,0
27,150,Food,clay,3,60,15,0,2,0
28,168,Food,silt,3,20,14,0,2,0
29,168,Food,silt,3,20,15,0,2,1
30,188,Food,clay,3,25,19,0,1,0
31,188,Food,silt,3,40,24,0,3,0
32,209,Food,silt,3,20,8,0,3,0
33,232,Food,clay,3,45,23,0,2,0
34,231,Food,silt,3,30,25,0,2,0
35,256,Food,clay,3,20,28,0,3,0
36,257,Food,clay,3,30,,0,2,0
37,256,Food,clay,3,40,29,0,1,0
38,283,Food,clay,3,25,22,0,1,0
39,283,Food,clay,3,50,24,0,2,0
40,283,Food,silt,3,15,24,0,3,0
41,283,Food,silt,3,45,20,0,1,0
42,312,Food,clay,3,10,20,0,3,0
43,311,Food,clay,3,20,25,0,1,0
44,312,Food,silt,3,15,21,0,2,0
45,312,Food,silt,3,15,24,0,2,0
46,342,Food,clay,3,60,28,0,2,0
47,342,Food,silt,3,40,17,0,3,0
48,375,Food,clay,3,50,30,0,2,0
49,375,Food,silt,3,5,22,0,1,0
50,375,Food,silt,3,20,23,0,2,0
51,375,Food,silt,3,10,25,0,3,1
52,411,Food,clay,3,30,,0,2,0
53,410,Food,clay,3,50,35,0,2,0
54,410,Food,clay,3,20,32,0,3,1
55,410,Food,silt,3,5,24,0,3,0
56,448,Food,clay,3,5,27,0,1,0
57,448,Food,clay,3,20,16,0,3,0
58,448,Food,clay,3,30,24,0,2,0
59,448,Food,clay,3,35,28,0,1,0
60,448,Food,clay,3,10,17,0,2,1
61,448,Food,clay,3,30,17,0,3,1
62,448,Food,silt,3,20,32,0,2,0
63,448,Food,silt,3,25,16,0,1,0
64,448,Food,silt,3,25,21,0,2,0
65,448,Food,silt,3,40,25,0,1,0
66,448,Food,silt,3,45,,0,2,0
67,448,Food,silt,3,60,31,0,1,0
68,448,Food,silt,3,70,28,0,3,0
69,488,Food,clay,3,15,32,0,3,0
70,488,Food,clay,3,25,27,0,3,0
71,488,Food,clay,3,30,26,0,2,0
72,488,Food,clay,3,35,30,0,3,0
73,488,Food,clay,3,60,33,0,1,0
74,488,Food,clay,3,10,17,0,1,1
75,488,Food,clay,3,20,33,0,1,1
76,488,Food,silt,3,10,33,0,2,0
77,488,Food,silt,3,20,32,0,2,0
